Run   obj.function   par_x01   par_x02   par_x03   par_x04   par_x05   par_x06   par_x07   par_x08   par_x09   par_x10   par_x11   par_x12   par_x13   par_x14   par_x15   par_x16   par_x17   par_x18   par_x19   par_x20   par_x21   par_x22   par_x23   par_x24   par_x25   par_x26   par_x27   par_x28   par_x29   par_x32   par_x33   par_x34   par_x35   par_x36   par_x37   par_x38   par_x39   par_x40   par_x53   par_x54   par_x55   par_x56   par_x57   par_x58   par_x59   par_x60   par_x61   par_x62   par_x63   par_x64
265   -7.80E-01   3.90E-01   1.12E-01   9.56E-01   3.91E-01   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.50E-01   5.56E-01   7.75E-01   1.26E-01   5.32E-02   1.99E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.78E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   6.84E-02   1.59E-01   3.10E-02   1.89E-01   9.59E-02   5.24E-02   3.25E+00   1.02E+01   1.89E+01   1.40E+01   8.72E-01   7.23E-01
266   -7.88E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   3.20E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   9.19E+00   1.99E-01   2.23E-01   3.19E-02   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -2.57E-01   3.66E+00   9.69E-01   1.57E-01   1.25E-01   1.93E-01   3.10E-02   1.82E-01   9.59E-02   3.25E-02   2.76E+00   9.89E+00   1.68E+01   1.80E+01   8.72E-01   2.37E-01
267   -7.67E-01   3.90E-01   2.22E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.91E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.84E-02   1.38E-01   6.71E+00   9.16E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   8.42E+00   1.99E-01   2.23E-01   8.77E-02   4.10E+00   5.25E+00   6.76E+00   3.71E+00   -3.90E-01   -3.92E-01   2.88E+00   9.69E-01   1.57E-01   1.46E-01   1.59E-01   3.10E-02   1.96E-01   9.59E-02   2.32E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   6.26E-01
268   -7.88E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   6.39E+00   8.76E-01   7.54E-01   1.18E+00   6.05E-01   5.56E-01   7.75E-01   5.67E-02   5.32E-02   1.05E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.95E-01   1.64E-01   8.37E-02   3.79E+00   5.25E+00   6.12E+00   5.21E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.76E-01   3.10E-02   1.89E-01   9.59E-02   3.87E-02   2.33E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.37E-01
269   -7.77E-01   6.11E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   4.10E+00   4.33E+00   5.33E+00   8.76E-01   8.25E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   7.20E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.93E-01   2.10E-01   1.20E-01   3.79E+00   5.25E+00   4.99E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.59E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   4.64E+00   1.35E+01   1.68E+01   1.40E+01   8.72E-01   4.82E-01
270   -7.90E-01   3.90E-01   1.02E-01   9.78E-01   -2.04E-04   9.14E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.06E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.99E-01   2.23E-01   1.14E-02   3.79E+00   4.92E+00   6.12E+00   3.71E+00   -4.85E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.59E-01   5.32E-02   1.62E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.37E-01
271   -7.90E-01   2.10E-01   1.02E-01   8.29E-01   -2.68E-01   8.94E-01   4.17E-02   6.35E+00   2.41E+00   4.26E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   4.17E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.99E-01   2.92E-01   1.20E-01   3.79E+00   5.25E+00   6.68E+00   3.71E+00   -3.90E-01   -3.92E-01   3.40E+00   9.69E-01   1.57E-01   1.46E-01   1.58E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   4.94E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.49E-01
272   -7.61E-01   1.88E-01   2.01E-01   8.47E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   4.18E+00   7.92E-01   8.20E-01   1.16E+00   5.61E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.17E+00   8.24E+01   4.77E-01   1.37E-01   5.45E-02   4.70E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   4.81E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.95E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.54E-01
273   -6.91E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   4.57E-01   7.75E-01   1.17E-01   5.32E-02   1.18E-01   6.39E-01   8.24E+01   4.50E-01   1.42E-02   1.13E-01   4.69E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   4.92E+00   4.17E+00   6.12E+00   3.91E+00   -3.90E-01   -3.92E-01   3.29E+00   5.90E-01   1.57E-01   1.46E-01   1.59E-01   2.68E-02   1.84E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.37E-01
274   -7.90E-01   5.04E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   4.28E+00   5.71E+00   3.71E+00   9.71E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.99E-01   1.60E-01   4.00E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   6.20E-02   1.46E-01   1.84E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   9.14E-01   2.37E-01
275   -6.04E-01   3.90E-01   1.02E-01   8.94E-01   -2.04E-04   1.39E+00   4.17E-02   6.35E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   8.14E-01   1.04E+00   6.05E-01   6.09E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   4.89E-01   1.37E-01   1.62E-02   3.69E-01   8.29E+00   1.99E-01   1.81E-01   1.20E-01   4.09E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.44E-01   1.46E-01   1.59E-01   3.88E-02   1.89E-01   9.59E-02   3.25E-02   2.17E+00   1.63E+01   1.68E+01   1.40E+01   8.72E-01   2.37E-01
276   -7.83E-01   3.90E-01   1.05E-01   8.29E-01   -2.04E-04   8.94E-01   4.48E-02   6.35E+00   5.63E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.39E-01   1.37E-01   5.45E-02   4.76E-01   8.36E+00   1.99E-01   3.38E-01   1.20E-01   4.44E+00   5.25E+00   4.86E+00   3.71E+00   -3.90E-01   -3.92E-01   3.43E+00   9.69E-01   1.57E-01   1.46E-01   1.13E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   2.00E+01   1.52E+01   8.72E-01   4.05E-01
277   -7.57E-01   3.90E-01   1.02E-01   8.70E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   5.42E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   8.47E-02   5.32E-02   1.38E-01   6.39E-01   8.24E+01   4.96E-01   6.44E-02   3.84E-02   4.69E-01   8.36E+00   1.22E-01   2.23E-01   2.95E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.59E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   9.60E+00   1.05E+01   1.68E+01   1.22E+01   8.72E-01   2.37E-01
278   -7.42E-01   3.90E-01   1.02E-01   7.59E-01   -2.04E-04   8.94E-01   4.17E-02   6.13E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.51E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   8.05E-02   4.65E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   3.51E-02   4.21E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   4.11E+00   6.12E+00   3.68E+00   -3.90E-01   -3.92E-01   3.63E+00   6.34E-01   1.57E-01   1.46E-01   1.59E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.98E+01   1.40E+01   8.92E-01   2.37E-01
279   -7.82E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   1.33E+00   4.17E-02   6.17E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   8.43E-01   1.14E+00   6.05E-01   6.65E-01   7.75E-01   1.17E-01   4.35E-02   1.58E-01   6.39E-01   8.24E+01   2.60E-01   1.37E-01   5.86E-02   4.69E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.59E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.37E-01
280   -7.54E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   7.54E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   4.91E+00   8.76E-01   7.54E-01   1.18E+00   5.49E-01   6.19E-01   7.75E-01   1.17E-01   5.32E-02   1.83E-01   6.39E-01   8.24E+01   3.85E-01   3.66E-02   8.98E-02   4.69E-01   9.09E+00   2.11E-01   2.23E-01   1.20E-01   4.17E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.68E+00   9.69E-01   2.08E-01   1.46E-01   1.59E-01   3.10E-02   1.31E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.80E+01   1.40E+01   8.72E-01   2.14E-01
281   -7.81E-01   3.90E-01   1.02E-01   8.29E-01   2.16E-01   8.94E-01   4.17E-02   6.86E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   8.33E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   6.97E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   5.25E+00   6.40E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.61E-01   1.59E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   7.28E+00   1.05E+01   1.68E+01   1.32E+01   8.72E-01   3.43E-01
282   -7.84E-01   3.90E-01   1.02E-01   6.38E-01   -2.04E-04   1.25E+00   4.89E-02   6.35E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.87E-01   1.14E+00   6.05E-01   5.56E-01   7.96E-01   1.45E-01   5.13E-02   1.38E-01   6.39E-01   8.24E+01   3.07E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.99E-01   2.88E-01   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.59E-01   3.10E-02   1.92E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.39E+01   9.10E-01   2.37E-01
283   -7.90E-01   3.90E-01   1.02E-01   3.40E-01   5.63E-01   8.94E-01   4.35E-02   6.51E+00   2.86E+00   2.86E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   7.06E+01   3.29E-01   1.37E-01   5.45E-02   4.69E-01   8.93E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -4.12E-01   -3.92E-01   3.94E+00   9.69E-01   1.57E-01   1.46E-01   1.18E-01   6.50E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.37E-01
284   -7.81E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.88E-02   6.35E+00   2.86E+00   4.33E+00   3.19E+00   8.76E-01   8.33E-01   9.84E-01   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.64E-01   6.39E-01   8.24E+01   3.85E-01   4.46E-02   5.45E-02   4.69E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   1.36E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.59E-01   3.10E-02   1.89E-01   9.59E-02   2.15E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.37E-01
285   -7.84E-01   3.90E-01   1.69E-01   7.84E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   5.35E+00   8.69E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   4.52E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.99E-01   2.23E-01   3.33E-02   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.21E+00   9.69E-01   2.23E-01   1.46E-01   1.59E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   9.06E+00   1.68E+01   1.40E+01   8.72E-01   2.55E-01
286   -7.73E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   5.40E+00   5.33E+00   8.76E-01   8.30E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.38E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.26E-01   9.73E-02   5.45E-02   4.25E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   7.98E-02   1.46E-01   1.59E-01   7.88E-02   1.89E-01   9.59E-02   6.09E-02   3.25E+00   1.05E+01   1.98E+01   1.40E+01   8.72E-01   2.37E-01
287   -7.87E-01   3.90E-01   1.02E-01   7.12E-01   -4.30E-01   8.61E-01   4.17E-02   6.35E+00   3.38E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.41E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.36E-01   3.10E-02   1.67E-01   9.59E-02   3.25E-02   3.25E+00   1.52E+01   1.68E+01   1.40E+01   8.72E-01   2.37E-01
288   -7.56E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   1.01E-01   4.69E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   3.45E+00   5.25E+00   6.12E+00   3.03E+00   -3.82E-01   -3.92E-01   3.63E+00   9.10E-01   1.57E-01   1.46E-01   1.59E-01   3.10E-02   1.66E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.93E+01   8.72E-01   2.37E-01
289   -7.52E-01   3.50E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   5.33E+00   7.97E-01   7.54E-01   1.14E+00   6.05E-01   5.56E-01   7.75E-01   1.89E-01   5.32E-02   1.38E-01   6.94E+00   8.71E+01   3.85E-01   1.37E-01   8.53E-02   4.69E-01   8.36E+00   1.99E-01   1.92E-01   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -1.26E-01   3.75E+00   9.69E-01   1.57E-01   1.65E-01   8.58E-02   3.10E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   9.16E-01   2.37E-01
290   -7.85E-01   6.30E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   3.82E+00   8.76E-01   7.54E-01   9.93E-01   6.05E-01   5.56E-01   7.75E-01   5.04E-02   9.87E-02   1.38E-01   1.68E+00   8.24E+01   3.85E-01   2.22E-01   5.45E-02   3.62E-01   8.36E+00   1.99E-01   2.85E-01   1.20E-01   3.57E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.76E-01   3.10E-02   1.89E-01   9.59E-02   3.25E-02   3.25E+00   1.30E+01   1.68E+01   1.40E+01   9.77E-01   2.25E-01
291   -6.58E-01   3.90E-01   1.02E-01   7.62E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   5.18E+00   5.33E+00   9.21E-01   7.54E-01   1.08E+00   6.04E-01   5.56E-01   7.75E-01   1.43E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   1.64E-01   4.69E-01   8.36E+00   1.99E-01   2.23E-01   1.20E-01   3.79E+00   5.52E+00   6.12E+00   3.71E+00   -3.45E-01   -3.92E-01   2.72E+00   6.86E-01   1.57E-01   1.46E-01   1.59E-01   6.47E-02   1.89E-01   9.59E-02   2.15E-02   1.01E+01   1.05E+01   1.23E+01   1.40E+01   9.64E-01   2.37E-01
292   -7.66E-01   3.90E-01   3.00E-01   8.29E-01   -2.04E-04   8.94E-01   4.17E-02   6.35E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.08E+00   6.05E-01   5.56E-01   7.75E-01   1.17E-01   3.19E-02   1.38E-01   9.07E-01   8.24E+01   3.85E-01   1.37E-01   5.68E-02   4.69E-01   7.94E+00   1.99E-01   1.35E-02   1.20E-01   3.79E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -5.50E-02   3.63E+00   9.69E-01   1.57E-01   1.46E-01   1.59E-01   2.83E-02   1.74E-01   9.59E-02   3.25E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.72E-01   2.87E-01
293   -7.92E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.01E-02   6.86E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   6.29E-01   7.75E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   7.32E+00   1.99E-01   2.23E-01   1.20E-01   4.25E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.24E-01   1.46E-01   1.59E-01   3.16E-02   1.59E-01   9.59E-02   3.03E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   9.00E-01   2.92E-01
294   -7.89E-01   3.90E-01   1.02E-01   9.28E-01   -1.91E-01   1.98E+00   4.01E-02   6.86E+00   2.86E+00   4.33E+00   5.33E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   6.29E-01   7.75E-01   8.12E-02   5.32E-02   1.42E-01   6.39E-01   8.24E+01   3.85E-01   8.23E-02   5.45E-02   4.69E-01   7.32E+00   1.89E-01   2.23E-01   1.20E-01   4.52E+00   5.25E+00   6.12E+00   3.71E+00   -3.31E-01   -3.92E-01   3.63E+00   9.69E-01   2.38E-02   1.46E-01   1.59E-01   3.16E-02   1.59E-01   9.59E-02   3.03E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   9.00E-01   2.92E-01
295   -7.84E-01   3.05E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.01E-02   6.86E+00   2.86E+00   4.33E+00   5.33E+00   1.05E+00   7.54E-01   1.09E+00   5.42E-01   6.29E-01   7.50E-01   1.17E-01   5.32E-02   1.38E-01   4.48E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   7.32E+00   2.12E-01   2.23E-01   1.80E-01   4.25E+00   5.25E+00   6.56E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   8.81E-01   1.26E-01   1.46E-01   1.59E-01   3.16E-02   1.59E-01   9.59E-02   6.30E-02   3.25E+00   4.55E+00   1.68E+01   1.40E+01   9.00E-01   2.92E-01
296   -7.65E-01   3.90E-01   1.02E-01   8.29E-01   5.99E-01   8.94E-01   4.01E-02   6.86E+00   2.86E+00   5.85E+00   5.33E+00   8.76E-01   9.16E-01   1.14E+00   5.88E-01   6.29E-01   7.75E-01   1.17E-01   5.32E-02   1.77E-01   2.81E+00   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   8.07E+00   1.85E-01   2.23E-01   1.20E-01   4.25E+00   5.25E+00   6.90E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   1.81E-01   1.46E-01   1.59E-01   3.16E-02   1.71E-01   8.05E-02   3.03E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   9.23E-01   2.92E-01
297   -7.97E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   8.94E-01   4.43E-02   6.86E+00   5.08E+00   1.50E+00   5.07E+00   8.76E-01   7.54E-01   1.14E+00   6.05E-01   6.29E-01   7.36E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   7.32E+00   1.99E-01   2.23E-01   1.20E-01   4.25E+00   5.25E+00   6.12E+00   3.71E+00   -3.90E-01   -3.92E-01   3.63E+00   9.69E-01   7.41E-02   1.46E-01   1.59E-01   3.16E-02   1.59E-01   9.59E-02   3.60E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   9.28E-01   2.92E-01
298   -7.99E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   1.80E+00   4.43E-02   6.86E+00   5.30E+00   1.50E+00   5.07E+00   8.76E-01   7.54E-01   1.14E+00   6.01E-01   6.29E-01   7.72E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   7.32E+00   1.99E-01   2.23E-01   1.20E-01   4.25E+00   5.28E+00   6.12E+00   3.71E+00   -4.51E-01   -3.92E-01   3.63E+00   9.69E-01   7.41E-02   1.46E-01   1.93E-01   3.16E-02   1.59E-01   7.34E-02   3.60E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.07E-01   2.92E-01
299   -7.98E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   1.80E+00   4.43E-02   6.86E+00   5.30E+00   1.50E+00   5.07E+00   8.76E-01   7.54E-01   1.14E+00   6.01E-01   6.29E-01   7.72E-01   1.17E-01   2.95E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   7.32E+00   1.99E-01   2.23E-01   1.20E-01   4.25E+00   5.28E+00   6.12E+00   3.71E+00   -4.51E-01   -3.92E-01   3.06E+00   9.69E-01   7.41E-02   1.46E-01   1.93E-01   3.16E-02   1.59E-01   7.34E-02   3.60E-02   3.25E+00   1.05E+01   1.68E+01   1.22E+01   8.07E-01   2.92E-01
300   -7.95E-01   3.90E-01   1.02E-01   8.29E-01   -2.04E-04   9.24E-01   4.43E-02   6.86E+00   5.30E+00   1.50E+00   5.74E+00   8.80E-01   7.54E-01   1.14E+00   6.01E-01   6.29E-01   7.72E-01   1.17E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   3.83E-01   7.32E+00   1.99E-01   2.23E-01   1.39E-01   5.12E+00   5.28E+00   6.12E+00   3.71E+00   -4.51E-01   -3.92E-01   3.63E+00   9.69E-01   5.51E-02   1.46E-01   1.86E-01   3.16E-02   1.59E-01   7.34E-02   3.60E-02   3.25E+00   1.80E+01   1.68E+01   1.40E+01   8.30E-01   2.92E-01
301   -7.83E-01   3.90E-01   1.02E-01   6.76E-01   -2.04E-04   2.22E+00   4.43E-02   6.86E+00   5.30E+00   1.50E+00   3.10E+00   8.76E-01   8.77E-01   1.24E+00   6.01E-01   6.29E-01   7.07E-01   1.24E-01   5.32E-02   1.38E-01   6.39E-01   8.24E+01   3.85E-01   1.37E-01   5.45E-02   4.69E-01   7.32E+00   1.99E-01   2.23E-01   1.27E-01   4.25E+00   5.07E+00   5.68E+00   3.71E+00   -4.51E-01   -3.92E-01   3.63E+00   9.69E-01   7.41E-02   1.46E-01   1.93E-01   3.16E-02   1.59E-01   7.34E-02   3.60E-02   3.25E+00   1.05E+01   1.68E+01   1.40E+01   8.07E-01   2.92E-01
